电影名称,上映时间,票房（万元）,平均票价,观影人数
红海行动,2018-02-16 上映,365089,39.289734,33
唐人街探案2,2018-02-16 上映,339777,38.75716,38
我不是药神,2018-07-05 上映,310002,34.81434,26
西虹市首富,2018-07-27 上映,254766,35.062668,28
复仇者联盟3：无限战争,2018-05-11 上映,239050,38.242947,19
捉妖记2,2018-02-16 上映,223715,38.315212,44
毒液：致命守护者,2018-11-09 上映,187014,35.510853,17
海王,2018-12-07 上映,185218,36.42834,19
侏罗纪世界2,2018-06-15 上映,169590,35.697506,19
前任3：再见前任,2017-12-29 上映,164673,35.085884,27
头号玩家,2018-03-30 上映,139668,36.40283,18
后来的我们,2018-04-28 上映,136154,33.90258,21
一出好戏,2018-08-10 上映,135507,34.711494,25
无双,2018-09-30 上映,127378,35.562145,15
碟中谍6：全面瓦解,2018-08-31 上映,124523,36.820988,15
巨齿鲨,2018-08-10 上映,105179,38.315865,22
狂暴巨兽,2018-04-13 上映,100397,34.81579,13
超时空同居,2018-05-18 上映,89985,33.063896,12
蚁人2：黄蜂女现身,2018-08-24 上映,83157,36.05232,15
无名之辈,2018-11-16 上映,79409,34.601288,12
无问西东,2018-01-12 上映,75432,31.431118,18
神秘巨星,2018-01-19 上映,74708,30.02213,17
西游记女儿国,2018-02-16 上映,72741,39.746918,33
摩天营救,2018-07-20 上映,66981,35.184887,18
黑豹,2018-03-09 上映,66260,36.06936,17
环太平洋：雷霆再起,2018-03-23 上映,63323,35.434902,13
影,2018-09-30 上映,62899,35.800556,14
狄仁杰之四大天王,2018-07-27 上映,60636,39.113647,18
熊出没·变形记,2018-02-16 上映,60552,35.826736,29
李茶的姑妈,2018-09-30 上映,60438,34.69147,15
邪不压正,2018-07-13 上映,58352,35.564896,16
爱情公寓,2018-08-10 上映,55545,35.352978,27
动物世界,2018-06-29 上映,50967,36.847507,13
古墓丽影：源起之战,2018-03-16 上映,49748,35.066303,14
勇敢者游戏：决战丛林,2018-01-12 上映,49194,34.19796,18
厉害了，我的国,2018-03-02 上映,48059,31.555008,26
反贪风暴3,2018-09-14 上映,44300,35.903515,10
神奇动物：格林德沃之罪,2018-11-16 上映,39888,37.62202,12
快把我哥带走,2018-08-17 上映,37532,32.391106,15
幕后玩家,2018-04-28 上映,35861,35.479015,13
悲伤逆流成河,2018-09-21 上映,35665,33.55452,11
超人总动员2,2018-06-22 上映,35439,34.6536,12
蜘蛛侠：平行宇宙,2018-12-21 上映,35426,35.726143,15
黄金兄弟,2018-09-21 上映,31749,34.412315,11
移动迷宫3：死亡解药,2018-01-26 上映,31528,34.57536,12
小萝莉的猴神大叔,2018-03-02 上映,28560,30.829151,17
找到你,2018-10-05 上映,28528,31.810467,9
来电狂响,2018-12-28 上映,27345,35.07126,28
