电影名称,上映时间,票房（万元）,平均票价,观影人数
特警队,2019-12-27 上映,674,35.604492,3
下一任：前任,2019-05-01 上映,673,72.93851,83
气·球,2020-11-20 上映,668,36.32442,4
天·火,2019-12-12 上映,657,79.60717,21
崖上的波妞,2020-12-31 上映,655,31.842197,6
小羊肖恩2：末日农场,2019-12-28 上映,627,30.511583,4
夏洛特烦恼,2015-09-30 上映,626,24.57849,8
飞奔去月球,2020-10-23 上映,582,34.12276,3
理查德·朱维尔的哀歌,2020-01-10 上映,570,37.662277,5
大话西游之月光宝盒,2014-10-24 上映,553,21.117043,8
马永贞之闸北决,2020-11-13 上映,530,34.14534,4
流浪地球,2019-02-05 上映,528,68.13101,16
太空熊猫英雄诞生,2020-12-19 上映,524,43.50747,65
电力之战,2020-08-28 上映,516,34.279007,3
小公主艾薇拉与神秘王国2,2020-08-22 上映,510,75.70359,18
禹神传之王者少年,2020-08-15 上映,504,44.37607,33
美人鱼,2016-02-08 上映,492,23.870943,10
第一次的离别,2020-07-20 上映,481,27.59712,4
鹭世界,2020-01-01 上映,472,28.396961,8
捉妖学院,2019-04-30 上映,429,88.38908,77
疯狂动物城,2016-03-04 上映,419,19.312855,5
流浪地球：飞跃2020特别版,2020-11-26 上映,419,13.142226,4
复合大作战,2020-10-26 上映,414,37.516293,24
盲舞,2019-02-03 上映,411,45.779087,128
星溪的三次奇遇,2020-11-27 上映,402,32.955986,45
闺蜜心窍,2020-11-27 上映,399,28.290247,2
辉夜大小姐想让我告白,2020-09-11 上映,398,32.071224,4
为爱重生,2019-07-25 上映,392,32.971794,21
再见吧！少年,2020-10-05 上映,387,40.681164,2
别告诉她,2020-01-10 上映,382,41.035866,3
当幸福来敲门,2008-01-17 上映,380,21.07704,6
致敬英雄,2020-01-10 上映,368,50.541817,10
信念一生,2020-08-19 上映,352,45.753834,21
烈火英雄,2019-08-01 上映,352,63.920517,65
光,2020-11-06 上映,338,32.65737,1
守望相思树,2020-11-20 上映,335,40.644295,23
通往春天的列车,2020-09-17 上映,324,33.12026,1
超时空同居,2018-05-18 上映,322,22.794693,8
港珠澳大桥,2019-05-01 上映,322,34.556362,48
古田军号,2019-08-01 上映,312,76.36674,44
骄傲的少年,2020-09-10 上映,309,34.601658,23
芙蓉渡,2020-09-11 上映,302,39.890247,76
变化中的中国·生活因你而火热,2019-11-22 上映,279,117.4054,24
呼吸,2020-10-23 上映,275,33.47559,1
廉政风云,2019-02-05 上映,271,59.579407,75
催眠·裁决,2019-10-25 上映,258,39.18724,6
城市的星空,2019-12-14 上映,256,71.98212,88
城市梦,2020-08-28 上映,242,47.6684,31
城市猎人,2020-12-11 上映,241,31.051085,1
大河向东流之沁源故事,2020-08-28 上映,235,31.164581,23
最可爱的人,2020-10-23 上映,233,33.827362,2
难忘的岁月,2016-06-16 上映,217,33.17911,68
少年的你,2019-10-25 上映,215,63.894337,18
重生小确幸,2020-10-31 上映,214,36.876205,2
何以为家,2019-04-29 上映,209,19.667639,6
龙神之子,2020-10-31 上映,200,27.837238,3
飞驰人生,2019-02-05 上映,200,69.38694,76
达芬奇大冒险：拯救蒙娜丽莎,2020-10-16 上映,200,29.515034,3
刑场上的婚礼,2019-12-11 上映,200,32.02439,41
邻里美好的一天,2020-09-18 上映,199,33.969833,1
巨齿鲨,2018-08-10 上映,195,27.246344,2
魔镜奇缘3,2019-12-14 上映,193,48.658043,10
那时风华,2019-12-10 上映,192,43.77492,15
士兵顺溜：兵王争锋,2020-01-17 上映,188,32.158703,2
新愚公移山,2020-09-10 上映,187,35.21528,5
心灵的阳光,2010-11-01 上映,186,57.110676,24
赛尔号大电影7：疯狂机器城,2019-08-02 上映,184,58.368305,62
中国合伙人,2013-05-17 上映,183,19.126867,12
猪八戒传说,2019-07-19 上映,175,60.97479,120
九条命,2020-11-13 上映,165,27.43552,2
翱翔雄心,2020-11-13 上映,155,33.689697,1
食神归来,2020-09-25 上映,154,59.046066,18
无“疯”也起浪,2020-08-28 上映,154,36.142536,9
囧妈,2020-01-25 上映,152,170.31291,0
扫毒2天地对决,2019-07-05 上映,152,86.05045,70
婚前故事,2020-11-13 上映,151,33.793728,1
白云之下,2020-07-31 上映,151,35.05073,21
阿凡提之奇缘历险,2018-10-01 上映,146,15.383904,18
寻找兰小草,2019-08-09 上映,145,995.676,10
