电影名称,上映时间,票房（万元）,平均票价,观影人数
哪吒之魔童降世,2019-07-26 上映,500363,35.759243,23
流浪地球,2019-02-05 上映,468110,44.585842,29
复仇者联盟4：终局之战,2019-04-24 上映,424900,48.953777,23
我和我的祖国,2019-09-30 上映,312332,37.81146,35
中国机长,2019-09-30 上映,290375,37.38024,26
疯狂的外星人,2019-02-05 上映,221177,41.995693,30
飞驰人生,2019-02-05 上映,172624,41.673088,25
烈火英雄,2019-08-01 上映,170333,35.864067,19
少年的你,2019-10-25 上映,155611,36.196148,16
速度与激情：特别行动,2019-08-23 上映,143454,35.663284,15
蜘蛛侠：英雄远征,2019-06-28 上映,141740,35.89683,17
扫毒2天地对决,2019-07-05 上映,131136,36.337433,16
大黄蜂,2019-01-04 上映,114945,35.906555,11
攀登者,2019-09-30 上映,109502,37.046,22
惊奇队长,2019-03-08 上映,103496,37.17624,14
比悲伤更悲伤的故事,2019-03-14 上映,95775,30.724274,15
哥斯拉2：怪兽之王,2019-05-31 上映,93722,36.069923,14
阿丽塔：战斗天使,2019-02-22 上映,89678,37.83204,14
银河补习班,2019-07-18 上映,87767,34.100212,16
狮子王,2019-07-12 上映,83373,35.989296,16
误杀,2019-12-13 上映,83179,33.902943,15
冰雪奇缘2,2019-11-22 上映,82272,34.47653,12
反贪风暴4,2019-04-04 上映,79858,34.979374,11
叶问4：完结篇,2019-12-20 上映,76352,35.324,16
熊出没·原始时代,2019-02-05 上映,71708,39.028706,22
使徒行者2：谍影行动,2019-08-07 上映,70192,36.283855,17
大侦探皮卡丘,2019-05-10 上映,64059,35.445614,10
新喜剧之王,2019-02-05 上映,62715,42.57954,24
千与千寻,2019-06-21 上映,48821,31.225344,12
绿皮书,2019-03-01 上映,47862,33.195747,13
白蛇：缘起,2019-01-11 上映,45495,34.421986,10
最好的我们,2019-06-06 上映,41719,32.293823,10
X战警：黑凤凰,2019-06-06 上映,40915,36.721764,11
诛仙Ⅰ,2019-09-13 上映,40470,36.131744,9
“大”人物,2019-01-10 上映,37986,36.182503,9
何以为家,2019-04-29 上映,37475,31.428356,10
阿拉丁,2019-05-24 上映,36814,36.583332,10
驯龙高手3,2019-03-01 上映,36794,35.659866,11
来电狂响,2018-12-28 上映,36792,34.84646,10
老师·好,2019-03-22 上映,35540,34.18113,9
终结者：黑暗命运,2019-11-01 上映,35529,33.17526,11
沉睡魔咒2,2019-10-18 上映,34613,35.14097,11
调音师,2019-04-03 上映,32519,32.268433,10
罗小黑战记,2019-09-07 上映,31501,33.325783,8
追龙Ⅱ,2019-06-06 上映,30906,36.264503,11
黑衣人：全球追缉,2019-06-14 上映,30796,36.3379,8
雷霆沙赞！,2019-04-05 上映,29472,36.913815,8
决战中途岛,2019-11-08 上映,29398,32.468124,9
天气之子,2019-11-01 上映,28870,30.951149,11
勇敢者游戏2：再战巅峰,2019-12-06 上映,28857,34.854294,9
死侍2：我爱我家,2019-01-25 上映,28680,32.71037,8
小小的愿望,2019-09-12 上映,27883,33.23168,9
犯罪现场,2019-10-12 上映,25491,35.88283,11
双子杀手,2019-10-18 上映,23578,37.995407,10
密室逃生,2019-01-18 上映,23277,32.31106,10
名侦探柯南：绀青之拳,2019-09-13 上映,23198,31.180494,9
大约在冬季,2019-11-15 上映,22743,35.31604,7
两只老虎,2019-11-29 上映,22381,34.21302,8
受益人,2019-11-08 上映,21906,35.37613,8
