电影名称,上映时间,票房（万元）,平均票价,观影人数
动听的生命,2022-11-18 上映,100,38.61716,44
少年日记,2023-04-15 上映,100,39.99164,63
燃烧的巴黎圣母院,2023-04-07 上映,100,42.350586,2
我和妈妈的最后一年,2023-05-12 上映,98,31.726845,1
临时乘客,2022-09-14 上映,94,33.213406,7
落地生根,2023-04-20 上映,88,32.334255,6
云在江口,2023-05-20 上映,84,32.18568,13
怒吼,2023-04-22 上映,84,35.63953,45
大旅行,2023-04-08 上映,83,29.731522,1
放牛班的春天,2004-10-16 上映,79,36.330032,4
橡树餐厅,2022-12-31 上映,76,29.958303,12
敦煌女儿（戏曲 沪剧）,2023-03-08 上映,75,44.980556,5
不二兄弟,2023-03-03 上映,74,37.351883,1
海湾之遇,2023-03-08 上映,65,27.31619,2
万湖会议,2023-06-09 上映,64,37.34071,3
水边维纳斯,2023-05-19 上映,53,39.751717,5
扫黑行动,2022-11-11 上映,50,39.267483,1
星星去火星,2023-04-28 上映,49,147.42096,50
茶啊二中,2023-07-14 上映,49,42.50256,8
花火时光,2023-04-21 上映,47,166.57492,44
青蛙王子历险记2,2022-11-12 上映,47,33.39757,3
荒野狂兽,2023-05-12 上映,45,32.384533,1
我的三平方,2022-11-24 上映,44,33.167946,8
加油吧！乡亲们,2023-05-20 上映,43,35.64825,9
英雄有梦,2023-04-28 上映,42,35.8647,7
钢铁意志,2022-09-30 上映,42,39.154507,20
贫民窟之王,2023-05-12 上映,41,31.884562,1
永不独行,2023-03-24 上映,41,31.644218,4
消失的丙察察,2023-05-12 上映,39,31.552235,6
杜鹃花儿开,2023-03-24 上映,39,30.431145,5
超级的我,2021-04-09 上映,39,30.418839,10
征程之星火,2023-05-04 上映,38,32.55383,15
会考试的猛犸象,2023-02-24 上映,37,36.393883,1
流浪地球,2019-02-05 上映,36,37.648067,11
不要再见啊，鱼花塘,2022-11-25 上映,35,35.196358,11
红光,2022-07-05 上映,34,32.49178,4
我是刑警王,2023-04-18 上映,34,31.564453,8
相见在鸾峰桥,2022-11-18 上映,33,36.276997,28
悟·空,2023-02-24 上映,31,29.385637,7
此生有约,2023-06-28 上映,29,27.20396,67
国际空间站,1970-01-01 上映,28,40,86
妈妈的礼物,2023-05-13 上映,28,30.0393,1
透明侠侣,2023-06-30 上映,27,47.91764,3
生命中最特别的朋友,2023-05-26 上映,26,28.436197,1
坠落,2022-11-18 上映,25,33.86433,1
宇宙之旅,1970-01-01 上映,25,28.643658,29
两个人的山林,2023-03-17 上映,24,46.153847,95
八角笼中,2023-07-06 上映,23,44.830494,0
胡杨林之恋,2023-02-14 上映,23,32.662827,1
漫游,2022-11-18 上映,23,35.129322,10
追你而来,2023-06-16 上映,23,41.85348,0
哈里斯夫人闯巴黎,2023-03-31 上映,22,38.408375,2
青春正好,2022-11-25 上映,22,29.1767,36
克拉和玛依历险记,2023-03-22 上映,21,28.991623,3
进球吧！少年,2023-06-17 上映,21,39.25782,4
伊朗电影展映,1970-01-01 上映,20,62.993504,48
神兜兜和奶爸,2023-06-01 上映,20,33.789536,4
香港电影展映（广州/江门）,1970-01-01 上映,20,64.364075,45
第九届丝绸之路国际电影节,1970-01-01 上映,20,50.146385,21
爸爸，我懂你了,2023-06-16 上映,20,34.894394,27
我的游戏情人,2023-05-26 上映,20,27.707891,38
过春天,2019-03-15 上映,19,34.83808,10
南湖女儿,2023-04-08 上映,19,25.70617,17
故乡异客,2023-05-19 上映,18,40.467056,5
让这首歌作证,2022-11-18 上映,18,22.99069,12
龙马精神,1965-01-01 上映,18,56.223763,7
狃花女,2023-03-08 上映,18,30.047756,22
乔治娅,2023-06-03 上映,18,33.19537,4
马庄村,2023-05-01 上映,18,23.289381,25
穿越硝烟的歌声,2015-08-20 上映,17,35.611774,50
玉珠串（戏曲、高甲戏）,2023-05-20 上映,15,27.984245,34
大明监察御史,2023-06-09 上映,14,40.624744,5
一杯上路,2023-04-01 上映,14,35.029716,1
翻转的手心,2023-05-21 上映,14,46.45411,54
深海探险队,1970-01-01 上映,14,30,58
浴血阻击,2023-05-12 上映,13,50,39
爱情神话,2021-12-24 上映,13,31.745398,11
爱在井冈,2022-11-04 上映,12,33.602097,10
根据地,2015-12-11 上映,12,22.71751,66
梅艳芳,2021-11-12 上映,12,32.451225,39
乌衣夜行,2023-03-07 上映,12,32.965347,0
沼泽深处的女孩,2022-11-25 上映,12,39.862823,2
午夜迷途,2023-06-16 上映,12,29.9289,0
2022荷兰电影展,2022-11-05 上映,12,57.081184,30
战俘拳王,2023-05-26 上映,11,30.756502,1
奇迹小子,2022-12-02 上映,11,43.740692,11
鲛在水中央,2023-05-01 上映,11,38.258,12
古田军号,2019-08-01 上映,11,20.431835,67
你好，鸽先生,2023-05-19 上映,11,32.794815,23
2022意大利电影展映（广州）,1970-01-01 上映,11,43.372196,50
广东省迎接党的二十大优秀影片展映,1970-01-01 上映,11,35.82042,49
白蛇传·情,2021-05-20 上映,10,30.788416,38
筑梦人之我的青春我的团,1970-01-01 上映,10,40,81
柳青,2021-05-21 上映,10,30.65856,40
世间有她,2022-09-09 上映,10,30.50666,38
