电影名称,上映时间,票房（万元）,平均票价,观影人数
超级英雄美猴王：齐天儿,1970-01-01 上映,54,40.19057,12
流浪地球,2019-02-05 上映,53,26.664558,1
冏样喜事,2021-09-03 上映,53,41.82431,23
花开高黎贡,2022-08-18 上映,53,35.16258,14
中国医生,2021-07-09 上映,52,25.01904,1
2022金鸡国际（港澳台）影展,1970-01-01 上映,52,69.722824,86
一点就到家,2020-10-04 上映,50,31.263817,0
为了明天升起的太阳,2021-06-18 上映,49,33.284927,19
银河宝贝,2021-04-17 上映,49,24.636375,31
追光,2022-09-15 上映,48,32.582966,1
峰爆,2021-09-17 上映,48,27.975794,1
超级的我,2021-04-09 上映,48,25.026573,10
我和我的父辈,2021-09-30 上映,46,25.080305,3
让这首歌作证,2022-11-18 上映,45,26.268993,4
万影影业2022金鸡香港影展,1970-01-01 上映,44,85.816055,78
我的英雄,2022-08-19 上映,43,32.106747,11
无名故事,2022-01-07 上映,43,41.95695,2
中国机长,2019-09-30 上映,43,27.735996,0
南太平洋之旅,2021-11-05 上映,42,33.01017,65
2022法国电影展映（北京）,1970-01-01 上映,42,60.82989,71
守岛人,2021-06-18 上映,42,26.260145,1
触摸星空,2021-11-05 上映,41,33.023678,72
孤山魅影,2021-12-24 上映,41,31.1652,5
木兰：横空出世,2020-10-03 上映,41,30.840202,3
谷魂,2022-01-15 上映,40,28.3366,28
“炼”爱,2022-03-18 上映,40,32.748524,1
超级特战队,2022-06-01 上映,38,24.838211,1
罗曼蒂克之城,2022-07-22 上映,38,32.256428,8
2021中国（广州）国际纪录片节金红棉影展,1970-01-01 上映,38,56.9309,93
大熊雨林,1970-01-01 上映,38,33.01329,58
信者,2021-11-05 上映,38,25.916227,70
何叔衡,2022-07-08 上映,37,45.711422,8
反恐特战队：清盘行动,2021-12-10 上映,37,31.473536,10
相约香港·香港经典电影展映,1970-01-01 上映,36,63.2056,69
2022年比利时导演达内兄弟电影展映,1970-01-01 上映,34,74.19086,166
2022年香港电影展,1970-01-01 上映,34,68.855995,104
以法之名,2022-06-24 上映,33,20.491838,33
国际空间站,1970-01-01 上映,32,40,64
金刚川,2020-10-23 上映,32,25.067465,1
地瓜味的冰激凌,2022-06-24 上映,31,30.77959,1
红尖尖,2021-10-14 上映,31,27.695929,52
2022奥地利古典艺术影像展,1970-01-01 上映,30,117.72784,18
反击者,2021-07-27 上映,30,36.53908,16
梦境历险记,2021-12-31 上映,30,30.785374,3
阿凡达,2010-01-04 上映,29,51.56369,5
牧民省长尕布龙,2022-05-20 上映,29,32.69488,10
诗巫风云,2022-11-25 上映,29,34.4815,2
老墙,2022-09-09 上映,28,30.245163,20
2022年俄罗斯电影展映活动,1970-01-01 上映,28,82.13123,54
漫游,2022-11-18 上映,28,32.471855,7
2022香港电影经典主题展,1970-01-01 上映,28,60.758778,29
奇幻森林之兽语小子,2021-12-25 上映,27,28.997297,4
2022艺术博物馆主题意大利电影展映活动,1970-01-01 上映,27,76.48397,23
石狮之舞,2022-04-08 上映,27,26.467558,15
大头大头下雨不愁,2022-07-24 上映,26,29.558811,2
宇宙之旅,1970-01-01 上映,26,27.554436,21
