电影名称,上映时间,票房（万元）,平均票价,观影人数
长津湖,2021-09-30 上映,577242,46.393906,22
你好，李焕英,2021-02-12 上映,541308,44.756912,24
唐人街探案3,2021-02-12 上映,451511,47.54,31
我和我的父辈,2021-09-30 上映,147673,43.46871,16
速度与激情9,2021-05-21 上映,139220,39.293976,13
怒火·重案,2021-07-30 上映,132927,38.70483,8
中国医生,2021-07-09 上映,132823,36.348186,11
哥斯拉大战金刚,2021-03-26 上映,123257,37.444496,9
送你一朵小红花,2020-12-31 上映,119601,37.14371,10
悬崖之上,2021-04-30 上映,119020,38.585094,12
刺杀小说家,2021-02-12 上映,103518,47.265965,16
扬名立万,2021-11-11 上映,91943,38.034184,7
我的姐姐,2021-04-02 上映,86020,36.802753,9
误杀2,2021-12-17 上映,83893,39.54696,10
你的婚礼,2021-04-30 上映,78920,37.587566,15
人潮汹涌,2021-02-12 上映,76235,41.317875,10
拆弹专家2,2020-12-24 上映,71250,39.055153,8
温暖的抱抱,2020-12-31 上映,66932,37.112545,9
失控玩家,2021-08-27 上映,61257,38.86088,7
白蛇2：青蛇劫起,2021-07-23 上映,58020,39.026646,7
熊出没·狂野大陆,2021-02-12 上映,55854,43.912804,19
1921,2021-07-01 上映,50396,34.877834,8
新神榜：哪吒重生,2021-02-12 上映,45634,43.812637,14
峰爆,2021-09-17 上映,43771,37.92958,8
古董局中局,2021-12-03 上映,42915,38.08887,6
007：无暇赴死,2021-10-29 上映,41454,40.356693,7
扫黑·决战,2021-05-01 上映,40547,33.70047,9
盛夏未来,2021-07-30 上映,38682,37.112015,6
阿凡达,2010-01-04 上映,37521,34.88808,8
我要我们在一起,2021-05-20 上映,32614,36.91019,9
心灵奇旅,2020-12-25 上映,29796,37.75284,8
哆啦A梦：伴我同行2,2021-05-28 上映,27756,33.569176,7
侍神令,2021-02-12 上映,27398,46.45908,15
穿过寒冬拥抱你,2021-12-31 上映,27147,43.559772,67
当男人恋爱时,2021-06-11 上映,26419,32.39011,6
沙丘,2021-10-22 上映,25388,42.06831,7
寂静之地2,2021-05-28 上映,24949,34.796963,7
追虎擒龙,2021-05-01 上映,24366,38.395096,10
门锁,2021-11-19 上映,24226,34.368973,5
大红包,2021-01-22 上映,23531,33.378265,6
名侦探柯南：绯色的子弹,2021-04-17 上映,21609,33.69424,5
秘密访客,2021-05-01 上映,21487,38.35877,10
比得兔2：逃跑计划,2021-06-11 上映,19782,32.815224,7
